song,year_x,num_tokens,num_sentences,avg_sentence_length,lexical_diversity,avg_word_length,nouns,verbs,adjectives,named_entities,modal_verbs,personal_pronouns,question_sentences,year_y,topic
Cottonfields,,156,15,10.4,0.5705128205128205,3.6666666666666665,27,23,13,0,2,28,0,,0
Country Comfort (1970),1970.0,360,33,10.909090909090908,0.4055555555555555,3.911111111111111,77,34,36,0,2,35,0,1970.0,0
Country Love Song,,152,20,7.6,0.625,3.6907894736842106,29,22,9,0,1,24,0,,0
Crazy Water (1976),1976.0,275,38,7.236842105263157,0.3818181818181818,4.141818181818182,64,31,42,0,0,30,0,1976.0,1
Crocodile Rock (1972),1972.0,375,44,8.522727272727273,0.3253333333333333,4.501333333333333,53,49,24,0,4,37,0,1972.0,0
Cry to Heaven (1985),1985.0,249,27,9.22222222222222,0.4176706827309236,3.863453815261044,60,47,12,0,0,33,0,1985.0,0
Crystal (1983),1983.0,389,46,8.456521739130435,0.2544987146529563,3.591259640102828,56,29,28,0,4,80,0,1983.0,1
Curtains (1975),1975.0,184,12,15.333333333333334,0.4456521739130434,4.396739130434782,23,17,7,0,1,13,0,1975.0,1
Dan Dare (Pilot of the Future) (1975),1975.0,337,35,9.628571428571428,0.2908011869436201,3.4154302670623147,27,49,7,0,3,71,0,1975.0,0
Dance of the Robe,,274,30,9.133333333333333,0.4343065693430657,3.383211678832117,31,27,21,0,10,38,1,,1
Dancing in the End Zone (1989),1989.0,124,14,8.857142857142858,0.5483870967741935,3.766129032258065,24,22,8,0,4,16,0,1989.0,0
Daniel (1973),1973.0,233,24,9.708333333333334,0.3390557939914163,3.407725321888412,29,25,8,0,8,37,2,1973.0,0
Dark Diamond,,141,16,8.8125,0.6099290780141844,3.652482269503546,18,26,9,0,3,29,0,,1
Day Is Done,,195,27,7.222222222222222,0.4564102564102564,3.641025641025641,28,34,12,0,2,14,0,,0
Dear God (1980),1980.0,200,18,11.11111111111111,0.41,3.305,15,32,17,0,1,45,0,1980.0,0
Dear John (1982),1982.0,271,20,13.55,0.2878228782287823,3.018450184501845,22,26,25,0,2,37,0,1982.0,0
Did Anybody Sleep with Joan of Arc,,348,38,9.157894736842104,0.3218390804597701,3.827586206896552,51,48,17,0,0,72,14,,1
Did He Shoot Her (1984),1984.0,199,19,10.473684210526317,0.5628140703517588,3.472361809045226,31,28,10,0,1,43,0,1984.0,1
Dirty Little Girl (1973),1973.0,451,23,19.608695652173918,0.2882483370288248,3.148558758314856,60,62,38,0,13,76,0,1973.0,1
Dixie Lily (1974),1974.0,211,25,8.44,0.4739336492890995,4.298578199052133,40,30,15,0,2,15,0,1974.0,0
Donner Pour Donner,,145,18,8.055555555555555,0.4758620689655172,3.731034482758621,26,18,9,0,1,31,0,,0
Don’t Go Breaking My Heart (1976),1976.0,426,49,8.693877551020408,0.2253521126760563,3.535211267605634,51,96,4,0,1,114,0,1976.0,1
Don’t Stop (1998),1998.0,241,28,8.607142857142858,0.2821576763485477,3.804979253112033,19,42,13,0,1,29,0,1998.0,0
Don’t Trust That Woman (1986),1986.0,394,40,9.85,0.2055837563451776,3.7055837563451774,63,66,18,0,2,67,0,1986.0,1
Dreamboat,,463,48,9.645833333333334,0.3218142548596112,3.771058315334773,93,108,21,0,0,52,0,,0
Duet For One (1993),1993.0,223,14,15.928571428571429,0.452914798206278,3.4708520179372195,36,41,10,0,5,39,0,1993.0,0
Durban Deep (1989),1989.0,239,27,8.851851851851851,0.3849372384937238,3.769874476987448,42,41,7,0,0,29,0,1989.0,0
Easier to Walk Away,,148,21,7.047619047619048,0.527027027027027,4.114864864864865,24,36,2,0,1,26,0,,0
Easy As Life,,320,21,15.238095238095235,0.46875,3.51875,36,51,21,0,3,56,1,,1
Ego (1978),1978.0,338,36,9.38888888888889,0.3106508875739645,3.5857988165680474,55,46,19,0,3,61,0,1978.0,0
Eight Hundred Dollar Shoes (2010),2010.0,192,18,10.666666666666666,0.6354166666666666,4.1875,47,32,2,0,0,27,0,2010.0,0
El Dorado (2000),2000.0,171,19,9.0,0.4210526315789473,4.0,16,14,13,0,3,15,0,2000.0,0
El Dorado (Movie Version),,43,8,5.375,0.7441860465116279,4.372093023255814,7,4,5,0,0,2,0,,0
Elderberry Wine (1972),1972.0,298,40,7.45,0.3120805369127516,3.835570469798658,79,43,13,0,3,36,3,1972.0,1
Electricity (2005),2005.0,239,26,9.192307692307692,0.3682008368200837,3.7656903765690375,23,38,23,0,0,50,0,2005.0,0
Elton’s Song (1981),1981.0,211,20,10.55,0.4502369668246445,3.530805687203792,26,40,18,0,1,53,0,1981.0,1
Embrace It,,343,35,9.8,0.4635568513119533,3.918367346938776,56,54,17,0,7,70,8,,0
Emily (1992),1992.0,140,14,10.0,0.6714285714285714,4.042857142857143,41,19,7,0,0,8,0,1992.0,0
Eminem - Rolling Stone Entry,,190,12,15.833333333333334,0.5631578947368421,3.9,27,21,13,0,0,29,0,,0
Empty Garden (Hey Hey Johnny) (1982),1982.0,398,43,9.255813953488373,0.2939698492462311,3.57035175879397,43,60,21,0,7,57,12,1982.0,1
Empty Sky (1969),1969.0,364,32,11.375,0.3956043956043956,3.417582417582417,52,57,12,0,9,48,0,1969.0,1
